policy,mean,std,count,sigma,impurity,num_dim
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.0,0.0,2
default,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2
augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2
average,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2
ensemble,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.2,0.0,2
default,0.686839999999998,0.0027271692011776477,1000,0.2,0.0,2
augment,0.6938799999999987,0.0026990795895324494,1000,0.2,0.0,2
average,0.6936399999999981,0.002713321306537901,1000,0.2,0.0,2
ensemble,0.6927199999999978,0.0026866744908566422,1000,0.2,0.0,2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.5,0.0,2
default,0.5879600000000001,0.0031324192647936636,1000,0.5,0.0,2
augment,0.6073199999999989,0.003070740472108818,1000,0.5,0.0,2
average,0.6078399999999994,0.003082212587482323,1000,0.5,0.0,2
ensemble,0.6012399999999996,0.00304311073129502,1000,0.5,0.0,2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,1.0,0.0,2
default,0.5289200000000001,0.003219875960530338,1000,1.0,0.0,2
augment,0.5387199999999996,0.0031437946887551455,1000,1.0,0.0,2
average,0.5404800000000008,0.0033482802422408753,1000,1.0,0.0,2
ensemble,0.5376399999999999,0.0031705650731191216,1000,1.0,0.0,2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,1.5,0.0,2
default,0.5152800000000002,0.003227031969989663,1000,1.5,0.0,2
augment,0.5190400000000006,0.003282964553000269,1000,1.5,0.0,2
average,0.5172800000000003,0.003442041436306262,1000,1.5,0.0,2
ensemble,0.5196400000000005,0.0032173003312438,1000,1.5,0.0,2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,2.0,0.0,2
default,0.5096799999999999,0.0030951377154300385,1000,2.0,0.0,2
augment,0.5151999999999999,0.0029516219392178382,1000,2.0,0.0,2
average,0.51348,0.0030855486076563697,1000,2.0,0.0,2
ensemble,0.5127200000000002,0.003005733859814612,1000,2.0,0.0,2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,2
default,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,2
augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,2
average,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,2
ensemble,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.2,-0.84,2
default,0.9212399999999854,0.0003152170074119738,1000,0.2,-0.84,2
augment,0.9229599999999875,0.0005552897862798701,1000,0.2,-0.84,2
average,0.9223999999999865,0.0004639560919475646,1000,0.2,-0.84,2
ensemble,0.9205599999999853,0.00022569301570349057,1000,0.2,-0.84,2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.5,-0.84,2
default,0.9165999999999861,0.00047986484583711035,1000,0.5,-0.84,2
augment,0.9198399999999849,0.00012645311538428267,1000,0.5,-0.84,2
average,0.9075999999999884,0.0010587544384610542,1000,0.5,-0.84,2
ensemble,0.9194399999999853,0.00022569301570349388,1000,0.5,-0.84,2
plurality,0.9199999999999847,4.847374480100859e-16,1000,1.0,-0.84,2
default,0.9128399999999866,0.0008053464987090884,1000,1.0,-0.84,2
augment,0.9197199999999849,0.00011973276884769376,1000,1.0,-0.84,2
average,0.8977999999999888,0.0015515048073297126,1000,1.0,-0.84,2
ensemble,0.9189999999999855,0.0002479142219830506,1000,1.0,-0.84,2
plurality,0.9199999999999847,4.847374480100859e-16,1000,1.5,-0.84,2
default,0.9120399999999869,0.0008195792274759668,1000,1.5,-0.84,2
augment,0.9197999999999849,8.926347499379617e-05,1000,1.5,-0.84,2
average,0.8936799999999891,0.0017776438387983094,1000,1.5,-0.84,2
ensemble,0.9189999999999848,0.0002479142219830479,1000,1.5,-0.84,2
plurality,0.9199999999999847,4.847374480100859e-16,1000,2.0,-0.84,2
default,0.9115199999999867,0.00086118013866509,1000,2.0,-0.84,2
augment,0.919759999999985,0.00012632639612669442,1000,2.0,-0.84,2
average,0.8895999999999898,0.0020517430759356037,1000,2.0,-0.84,2
ensemble,0.9185999999999851,0.00029347253044557036,1000,2.0,-0.84,2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,2
default,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,2
augment,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.76,2
average,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,2
ensemble,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.2,-0.76,2
default,0.8878799999999948,0.0006698913004020557,1000,0.2,-0.76,2
augment,0.8947199999999936,0.0009321966480258343,1000,0.2,-0.76,2
average,0.8957199999999943,0.0009692373398817336,1000,0.2,-0.76,2
ensemble,0.8875199999999949,0.000597165141486172,1000,0.2,-0.76,2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.5,-0.76,2
default,0.875919999999996,0.0006619605666441142,1000,0.5,-0.76,2
augment,0.8793999999999961,0.0002492029335744309,1000,0.5,-0.76,2
average,0.8621599999999965,0.0014402113069298542,1000,0.5,-0.76,2
ensemble,0.8788399999999957,0.0003352115254086078,1000,0.5,-0.76,2
