policy,mean,std,count,sigma,impurity,num_dim,stdb
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.0,0.0,2,0.2
default,0.8799999999999959,1.2996583750995055e-16,1000,0.0,0.0,2,0.2
augment,0.8799999999999959,1.2996583750995055e-16,1000,0.0,0.0,2,0.2
average,0.8799999999999959,1.2996583750995055e-16,1000,0.0,0.0,2,0.2
ensemble,0.8799999999999959,1.2996583750995055e-16,1000,0.0,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.025,0.0,2,0.2
default,0.9425600000000005,0.0010707908259753576,1000,0.025,0.0,2,0.2
augment,0.9517600000000045,0.0008745669026822752,1000,0.025,0.0,2,0.2
average,0.9429199999999999,0.0010364109936447721,1000,0.025,0.0,2,0.2
ensemble,0.943360000000001,0.0010443184385047464,1000,0.025,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.05,0.0,2,0.2
default,0.9328799999999986,0.0012920429462579713,1000,0.05,0.0,2,0.2
augment,0.9385999999999978,0.0012156964744202891,1000,0.05,0.0,2,0.2
average,0.9345199999999974,0.0012342986239533274,1000,0.05,0.0,2,0.2
ensemble,0.9339199999999975,0.0012469918157664913,1000,0.05,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.08,0.0,2,0.2
default,0.853599999999996,0.0020027608571796746,1000,0.08,0.0,2,0.2
augment,0.8584399999999959,0.0019794657573912965,1000,0.08,0.0,2,0.2
average,0.8570799999999966,0.0019868117729218934,1000,0.08,0.0,2,0.2
ensemble,0.856159999999997,0.0020267614961218816,1000,0.08,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.1,0.0,2,0.2
default,0.8744799999999966,0.001890265246652623,1000,0.1,0.0,2,0.2
augment,0.8775599999999961,0.0018937879587833564,1000,0.1,0.0,2,0.2
average,0.877159999999996,0.001914261946233799,1000,0.1,0.0,2,0.2
ensemble,0.8769599999999963,0.0018882594959178517,1000,0.1,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.3,0.0,2,0.2
default,0.6848399999999984,0.0028401127866056076,1000,0.3,0.0,2,0.2
augment,0.7008399999999987,0.002809267944925569,1000,0.3,0.0,2,0.2
average,0.7007999999999988,0.0028522790002900307,1000,0.3,0.0,2,0.2
ensemble,0.699599999999998,0.0027622219081511,1000,0.3,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.5,0.0,2,0.2
default,0.5940400000000001,0.003237121770548239,1000,0.5,0.0,2,0.2
augment,0.6194799999999994,0.002978153622464599,1000,0.5,0.0,2,0.2
average,0.6193999999999992,0.002962501715850379,1000,0.5,0.0,2,0.2
ensemble,0.6123199999999995,0.002971505922499131,1000,0.5,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,1.0,0.0,2,0.2
default,0.5382400000000006,0.0031800338072125916,1000,1.0,0.0,2,0.2
augment,0.5527600000000008,0.0031740284902402535,1000,1.0,0.0,2,0.2
average,0.5492400000000008,0.003217728418648184,1000,1.0,0.0,2,0.2
ensemble,0.5462000000000004,0.0032787055235122867,1000,1.0,0.0,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,2,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,2,0.2
augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,2,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,2,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,2,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,2,0.2
augment,0.942959999999998,0.0007097479426825663,1000,0.025,-0.84,2,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,2,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.05,-0.84,2,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.05,-0.84,2,0.2
augment,0.9231999999999873,0.00034333347911014346,1000,0.05,-0.84,2,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.05,-0.84,2,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.05,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.08,-0.84,2,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.08,-0.84,2,0.2
augment,0.9226799999999868,0.00035460307858695193,1000,0.08,-0.84,2,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.08,-0.84,2,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.08,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.1,-0.84,2,0.2
default,0.9200799999999848,8.000000000000098e-05,1000,0.1,-0.84,2,0.2
augment,0.9307999999999914,0.0006214065868223073,1000,0.1,-0.84,2,0.2
average,0.9202399999999847,9.77340879731918e-05,1000,0.1,-0.84,2,0.2
ensemble,0.9201199999999847,6.921264617387712e-05,1000,0.1,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.3,-0.84,2,0.2
