policy,mean,std,count,sigma,impurity,num_dim,stdb
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.0,0.0,2,0.2
default,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2,0.2
augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2,0.2
average,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2,0.2
ensemble,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.025,0.0,2,0.2
default,0.94908,0.001160215367808795,1000,0.025,0.0,2,0.2
augment,0.9585200000000019,0.0010660891830171428,1000,0.025,0.0,2,0.2
average,0.9495599999999996,0.001171485714287116,1000,0.025,0.0,2,0.2
ensemble,0.9497600000000002,0.0011602105362771447,1000,0.025,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.05,0.0,2,0.2
default,0.887799999999997,0.0014763941681474348,1000,0.05,0.0,2,0.2
augment,0.8947599999999969,0.0015201490891531776,1000,0.05,0.0,2,0.2
average,0.8897199999999972,0.0015122858885173122,1000,0.05,0.0,2,0.2
ensemble,0.8882399999999973,0.0015372916657764315,1000,0.05,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.08,0.0,2,0.2
default,0.8462799999999964,0.002068051846167905,1000,0.08,0.0,2,0.2
augment,0.8492799999999969,0.00204461782787447,1000,0.08,0.0,2,0.2
average,0.8485999999999965,0.0020346448780511513,1000,0.08,0.0,2,0.2
ensemble,0.8470399999999964,0.0020752698969399514,1000,0.08,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.1,0.0,2,0.2
default,0.830319999999996,0.002270738614163653,1000,0.1,0.0,2,0.2
augment,0.8393599999999967,0.0022252510290172115,1000,0.1,0.0,2,0.2
average,0.8389199999999968,0.002194276292641476,1000,0.1,0.0,2,0.2
ensemble,0.8368799999999964,0.0022296270622767433,1000,0.1,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.3,0.0,2,0.2
default,0.7289199999999986,0.002733478645518472,1000,0.3,0.0,2,0.2
augment,0.738879999999998,0.0025735128848654813,1000,0.3,0.0,2,0.2
average,0.7395599999999979,0.0025656166488368473,1000,0.3,0.0,2,0.2
ensemble,0.7379599999999984,0.0026118691123906386,1000,0.3,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.5,0.0,2,0.2
default,0.5923199999999997,0.0032970119635645748,1000,0.5,0.0,2,0.2
augment,0.6107599999999992,0.0031635154860108084,1000,0.5,0.0,2,0.2
average,0.6131599999999989,0.00311970302223575,1000,0.5,0.0,2,0.2
ensemble,0.6079999999999995,0.0031653782743330367,1000,0.5,0.0,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,1.0,0.0,2,0.2
default,0.5260800000000004,0.003314878884970306,1000,1.0,0.0,2,0.2
augment,0.5414799999999999,0.003084562225685217,1000,1.0,0.0,2,0.2
average,0.5419599999999997,0.003226417234048958,1000,1.0,0.0,2,0.2
ensemble,0.5393999999999997,0.0031225294538547222,1000,1.0,0.0,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,2,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,2,0.2
augment,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,2,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,2,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,2,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,2,0.2
augment,0.9526000000000058,0.0004914076530554628,1000,0.025,-0.84,2,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,2,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.05,-0.84,2,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.05,-0.84,2,0.2
augment,0.9361599999999954,0.000638797669424726,1000,0.05,-0.84,2,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.05,-0.84,2,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.05,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.08,-0.84,2,0.2
default,0.9200399999999848,4.000000000000014e-05,1000,0.08,-0.84,2,0.2
augment,0.9269199999999903,0.000618786309234856,1000,0.08,-0.84,2,0.2
average,0.9200399999999848,4.000000000000014e-05,1000,0.08,-0.84,2,0.2
ensemble,0.9200399999999848,4.000000000000014e-05,1000,0.08,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.1,-0.84,2,0.2
default,0.9377999999999969,0.0006289320754704373,1000,0.1,-0.84,2,0.2
augment,0.9564800000000089,0.00041252851995926516,1000,0.1,-0.84,2,0.2
average,0.9438400000000011,0.0006209992270848963,1000,0.1,-0.84,2,0.2
ensemble,0.9380799999999968,0.0006298494346352265,1000,0.1,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.3,-0.84,2,0.2
default,0.9188399999999856,0.00035830543225408176,1000,0.3,-0.84,2,0.2
augment,0.9191199999999855,0.0002578606059329214,1000,0.3,-0.84,2,0.2
